"MachineName","LastRunTime","Windows11ReadinessStatus","CommandExecutionStatus","FailureSource","StorageResult","MemoryResult","TPMResult","ProcessorResult","SecureBootResult","OSVersionResult","StorageDetails","MemoryDetails","TPMDetails","ProcessorDetails","SecureBootDetails","OSDetails"
"BN-OR-EXM001","2025-01-28T23:47:15Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=1382
NumberOfLogicalCores=8
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 140 Stepping 1} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-OR-EXM002","2025-01-28T23:47:12Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=1382
NumberOfLogicalCores=8
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 140 Stepping 1} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-OR-EXM003","2025-01-28T23:47:12Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=1382
NumberOfLogicalCores=8
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 140 Stepping 1} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-OR-MDR001","2025-01-28T23:47:08Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2000
NumberOfLogicalCores=12
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 151 Stepping 5} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-OR-MDR002","2025-01-28T23:47:05Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2000
NumberOfLogicalCores=12
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 151 Stepping 5} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-OR-REC001","2025-01-28T23:47:13Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2000
NumberOfLogicalCores=12
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 151 Stepping 5} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-PWY-EXM001","2025-01-28T23:47:12Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=118GB :: PASS","Memory: System_Memory=4GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2112
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-PWY-EXM002","2025-01-28T23:47:06Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=118GB :: PASS","Memory: System_Memory=4GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2112
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-OC-EXM001","2025-01-28T23:47:11Z","Unsupported","Success","TPM Ver, Proc fail","PASS","PASS","FAIL","FAIL","PASS","PASS","Storage: OSDiskSize=232GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=1.2, 2, 3 :: FAIL","Processor: {AddressWidth=64
MaxClockSpeed=2400
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 78 Stepping 3} :: FAIL","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-PWY-REC001","2025-01-28T23:47:16Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=118GB :: PASS","Memory: System_Memory=4GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2112
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-PWY-REC002","2025-01-28T23:47:08Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=119GB :: PASS","Memory: System_Memory=4GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2112
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-VAC-MDR002","2025-01-28T23:47:46Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=119GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=3096
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 11} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-VAC-MDR003","2025-01-28T23:47:07Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=118GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=3096
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 11} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-VAC-MDR004","2025-01-28T23:47:08Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=24GB :: PASS","TPM: TPMVersion=2.0, 0, 1.59 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=1600
NumberOfLogicalCores=20
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 191 Stepping 2} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-OC-EXM002","2025-01-28T23:47:07Z","Unsupported","Success","Proc fail","PASS","PASS","PASS","FAIL","PASS","PASS","Storage: OSDiskSize=232GB :: PASS","Memory: System_Memory=4GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2400
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 78 Stepping 3} :: FAIL","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-OC-EXM003","2025-01-28T23:47:06Z","Unsupported","Success","TPM Ver, Proc fail","PASS","PASS","FAIL","FAIL","PASS","PASS","Storage: OSDiskSize=232GB :: PASS","Memory: System_Memory=4GB :: PASS","TPM: TPMVersion=1.2, 2, 3 :: FAIL","Processor: {AddressWidth=64
MaxClockSpeed=2712
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 94 Stepping 3} :: FAIL","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-OC-EXM006","2025-01-28T23:47:15Z","Unsupported","Success","Proc fail","PASS","PASS","PASS","FAIL","PASS","PASS","Storage: OSDiskSize=237GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2496
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 78 Stepping 3} :: FAIL","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-OC-MAS003","2025-01-28T23:47:12Z","Unsupported","Success","TPM Ver, Proc fail","PASS","PASS","FAIL","FAIL","PASS","PASS","Storage: OSDiskSize=119GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=1.2, 2, 3 :: FAIL","Processor: {AddressWidth=64
MaxClockSpeed=3192
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 94 Stepping 3} :: FAIL","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-OC-REC001","2025-01-28T23:47:10Z","Unsupported","Success","Proc fail","PASS","PASS","PASS","FAIL","PASS","PASS","Storage: OSDiskSize=237GB :: PASS","Memory: System_Memory=12GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2712
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 9
PlatformId 2} :: FAIL","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-PWY-MDR001","2025-01-28T23:47:12Z","Unsupported","Success","Proc fail","PASS","PASS","PASS","FAIL","PASS","PASS","Storage: OSDiskSize=237GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2712
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 9
PlatformId 2} :: FAIL","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-001237","2025-01-28T23:47:14Z","Unsupported","Success","Proc fail","PASS","PASS","PASS","FAIL","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2496
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 94 Stepping 3} :: FAIL","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-001611","2025-01-28T23:47:13Z","Unsupported","Success","Proc fail","PASS","PASS","PASS","FAIL","PASS","PASS","Storage: OSDiskSize=237GB :: PASS","Memory: System_Memory=12GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2712
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 9
PlatformId 2} :: FAIL","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-001619","2025-01-28T23:47:07Z","Unsupported","Success","Proc fail","PASS","PASS","PASS","FAIL","PASS","PASS","Storage: OSDiskSize=237GB :: PASS","Memory: System_Memory=12GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2712
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 9
PlatformId 2} :: FAIL","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002659","2025-01-28T23:47:15Z","Unsupported","Success","Proc fail","PASS","PASS","PASS","FAIL","PASS","PASS","Storage: OSDiskSize=235GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=3192
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 94 Stepping 3} :: FAIL","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002712","2025-01-28T23:47:07Z","Unsupported","Success","Proc fail","PASS","PASS","PASS","FAIL","PASS","PASS","Storage: OSDiskSize=476GB :: PASS","Memory: System_Memory=16GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2904
NumberOfLogicalCores=8
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 9
PlatformId 2} :: FAIL","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002768","2025-01-28T23:47:08Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=24GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=3096
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 11} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002799","2025-01-28T23:47:16Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=118GB :: PASS","Memory: System_Memory=12GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2112
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002830","2025-01-28T23:47:16Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=12GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2112
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002831","2025-01-28T23:47:04Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=119GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2112
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002835","2025-01-28T23:47:06Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=118GB :: PASS","Memory: System_Memory=16GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2112
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002847","2025-01-28T23:47:15Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=12GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2208
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002854","2025-01-28T23:47:05Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=16GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2208
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002858","2025-01-28T23:47:08Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=119GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2208
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002923","2025-01-28T23:47:18Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=118GB :: PASS","Memory: System_Memory=12GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2208
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002927","2025-01-28T23:47:09Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=118GB :: PASS","Memory: System_Memory=16GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2208
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002932","2025-01-28T23:47:15Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=12GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2208
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002958","2025-01-28T23:47:09Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2208
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002975","2025-01-28T23:47:05Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=118GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=3096
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 11} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-002981","2025-01-28T23:47:22Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=237GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2496
NumberOfLogicalCores=8
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 13} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BU-003074","2025-01-28T23:47:04Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=118GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=3096
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 11} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
